ts,room,event,input,correct,mood_score,mood_state,item,next_room,items
2025-09-13T15:25:38,meta,game_start,,,,,,,
2025-09-13T15:26:01,room1,mood_tick,,,-0.41613140106201174,focused,,,
2025-09-13T15:26:01,room1,answer,hgut,False,,,,,
2025-09-13T15:27:30,room1,hint,,,,,,,
2025-09-13T15:27:42,room1,mood_tick,,,-2.05,stressed,,,
2025-09-13T15:27:42,room1,answer,echo,True,,,,,
2025-09-13T15:27:42,room1,item_gain,,,,,paper (echo sketch),,
2025-09-13T15:27:42,meta,autosave,,,,,,1,paper (echo sketch)
2025-09-13T15:28:12,room2,mood_tick,,,-0.43006894588470457,focused,,,
2025-09-13T15:28:12,room2,answer,7465,False,,,,,
2025-09-13T15:28:20,room2,hint,,,,,,,
2025-09-13T15:28:38,room2,mood_tick,,,-2.5,stressed,,,
2025-09-13T15:28:38,room2,answer,5748,False,,,,,
2025-09-13T15:29:51,room2,hint,,,,,,,
2025-09-13T15:29:58,room2,mood_tick,,,-2.5,stressed,,,
2025-09-13T15:29:58,room2,answer,5378,False,,,,,
2025-09-13T15:30:02,room2,hint,,,,,,,
2025-09-13T15:30:11,room2,mood_tick,,,-2.5,stressed,,,
2025-09-13T15:30:11,room2,answer,5348,True,,,,,
2025-09-13T15:30:11,room2,item_gain,,,,,code5196,,
2025-09-13T15:30:11,meta,autosave,,,,,,2,code5196;paper (echo sketch)
2025-09-13T15:30:48,room3,mood_tick,,,-1.2790191411972045,stressed,,,
2025-09-13T15:30:48,room3,answer,papaya,False,,,,,
2025-09-13T15:30:54,room3,mood_tick,,,-2.3671666979789734,stressed,,,
2025-09-13T15:30:54,room3,answer,ananas,False,,,,,
2025-09-13T15:30:57,room3,hint,,,,,,,
2025-09-13T15:31:04,room3,mood_tick,,,-2.5,stressed,,,
2025-09-13T15:31:04,room3,answer,pineapple,False,,,,,
2025-09-13T15:31:07,room3,mood_tick,,,-2.5,stressed,,,
2025-09-13T15:31:07,room3,answer,apple,False,,,,,
2025-09-13T15:31:09,room3,mood_tick,,,-2.5,stressed,,,
2025-09-13T15:31:09,room3,answer,banana,False,,,,,
2025-09-13T15:31:11,room3,hint,,,,,,,
2025-09-13T15:35:27,room3,mood_tick,,,-2.5,stressed,,,
2025-09-13T15:35:27,room3,answer,portal,True,,,,,
2025-09-13T15:35:27,meta,autosave,,,,,,3,code5196;paper (echo sketch)
2025-09-13T15:35:30,riddle_shadow,hint,,,,,,,
2025-09-13T15:35:32,riddle_shadow,mood_tick,,,0.7662866592407227,stressed,,,
2025-09-13T15:35:32,riddle_shadow,answer,shadow,True,,,,,
2025-09-13T15:35:32,meta,autosave,,,,,,4,code5196;paper (echo sketch)
2025-09-13T15:35:32,meta,escaped,,,,,,,
